Company,Sector
"Interactive Brokers Group, Inc.",US Financials
Moody's Corporation,US Financials
Parker-Hannifin Corporation,US Industrials
Brookfield Corporation,Canadian Financials
American Tower Corporation (REIT),US Real Estate
"Altria Group, Inc.",US Consumer Staples
Prosus N.V.,Dutch Communication Services
SoftBank Group Corp.,Japanese Communication Services
"Synopsys, Inc.",US Technology
Atlas Copco AB,Swedish Industrials
BP plc,UK Energy
Zurich Insurance Group AG,Swiss Financials
Duke Energy Corporation,US Utilities
Petróleo Brasileiro S.A. - Petrobras,Brazilian Energy
"Waste Management, Inc.",US Industrials
CME Group Inc.,US Financials
"Airbnb, Inc.",US Communication Services
Nippon Telegraph & Telephone Corp,Japanese Communication Services
"HCA Healthcare, Inc.",US Healthcare
Welltower Inc.,US Real Estate
Cigna Corporation,US Healthcare
British American Tobacco plc,UK Consumer Staples
China Telecom Corp Ltd,HK Communication Services
3M Company,US Industrials
Ferrari N.V.,Italian Consumer Discretionary
AXA SA,French Financials
Cintas Corporation,US Industrials
"Motorola Solutions, Inc.",US Technology
"Marriott International, Inc.",US Consumer Discretionary
Aon Plc,Irish Financials
Equinor ASA,Norway Energy
London Stock Exchange Group plc,UK Financials
"Chipotle Mexican Grill, Inc.",US Consumer Discretionary
"The PNC Financial Services Group, Inc.",US Financials
Capital One Financial Corporation,US Financials
Illinois Tool Works Inc.,US Industrials
Constellation Energy Corporation,US Utilities
Southern Copper Corporation,US Basic Materials
"Regeneron Pharmaceuticals, Inc.",US Healthcare
"Mondelez International, Inc.",US Consumer Staples
"DoorDash, Inc.",US Communication Services
TransDigm Group Incorporated,US Industrials
McKesson Corporation,US Healthcare
U.S. Bancorp,US Financials
AIA Group Ltd,HK Financials
"EOG Resources, Inc.",US Energy
Zoetis Inc.,US Healthcare
Hon Hai Precision Industry Co. Ltd,Taiwanese Technology
Emerson Electric Co.,US Industrials
"Fortinet, Inc.",US Technology
National Australia Bank Limited,Australian Financials
PT Bank Central Asia Tbk,Indonesian Financials
General Dynamics Corporation,US Industrials
"Banco Santander, SA",Spanish Financials
Enel SpA,Italian Utilities
Enterprise Products Partners L.P.,US Energy
"O'Reilly Automotive, Inc.",US Consumer Discretionary
Northrop Grumman Corporation,US Industrials
Intesa Sanpaolo S.p.A.,Italian Financials
"The Williams Companies, Inc.",US Energy
Bank of Montreal,Canadian Financials
Thomson Reuters Corporation,Canadian Industrials
Energy Transfer LP,US Energy
"Air Products and Chemicals, Inc.",US Basic Materials
Arthur J. Gallagher & Co.,US Financials
Colgate-Palmolive Company,US Consumer Staples
"MediaTek, Inc.",Taiwanese Technology
"Activision Blizzard, Inc.",US Communication Services
"Tokio Marine Holdings, Inc.",Japanese Financials
Chugai Pharmaceutical Co. Ltd,Japanese Healthcare
"Becton, Dickinson and Company",US Healthcare
GlaxoSmithKline plc,UK Healthcare
Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,German Financials
Atlassian Corporation Plc,Australian Technology
Ecolab Inc.,US Basic Materials
BNP Paribas SA,French Financials
Tokyo Electron Ltd,Japanese Technology
Bank of Nova Scotia,Canadian Financials
Constellation Software Inc.,Canadian Technology
ITOCHU Corp,Japanese Industrials
"Workday, Inc.",US Technology
Nintendo Co Ltd,Japanese Communication Services
CVS Health Corporation,US Healthcare
"Kinder Morgan, Inc.",US Energy
CRH plc,Irish Basic Materials
Canadian Pacific Railway Limited,Canadian Industrials
Diageo plc,UK Consumer Staples
Canadian Natural Resources Limited,Canadian Energy
Sea Limited,Singaporean Communication Services
"Republic Services, Inc.",US Industrials
"Simon Property Group, Inc.",US Real Estate
Carrier Global Corporation,US Industrials
Vistra Corp.,US Utilities
MERCK Kommanditgesellschaft auf Aktien,German Healthcare
PacifiCorp,US Utilities
FedEx Corporation,US Industrials
Bank of Communications Co. Ltd,Chinese Financials
CSX Corporation,US Industrials
"Autodesk, Inc.",US Technology
"NetEase, Inc.",Chinese Communication Services
Royal Caribbean Cruises Ltd.,US Consumer Discretionary
Shin-Etsu Chemical Co Ltd,Japanese Basic Materials
Canadian National Railway Company,Canadian Industrials
KDDI Corp,Japanese Communication Services
Mitsubishi Corp,Japanese Industrials
Westpac Banking Corporation,Australian Financials
UniCredit S.p.A.,Italian Financials
Target Corporation,US Consumer Staples
"Mizuho Financial Group, Inc.",Japanese Financials
Mercedes-Benz Group AG,German Consumer Discretionary
Rolls-Royce Holdings plc,UK Industrials
"Digital Realty Trust, Inc.",US Real Estate
Truist Financial Corporation,US Financials
"VMware, Inc.",US Technology
Ares Management Corporation,US Financials
Hilton Worldwide Holdings Inc.,US Consumer Discretionary
The Bank of New York Mellon Corporation,US Financials
Canadian Imperial Bank of Commerce,Canadian Financials
Vinci SA,French Industrials
"MetLife, Inc.",US Financials
General Motors Company,US Consumer Discretionary
Siemens Healthineers AG,German Healthcare
National Grid plc,UK Utilities
Schlumberger Limited,US Energy
"The Trade Desk, Inc.",US Technology
Foxconn Industrial Internet Co. Ltd,Chinese Technology
Glencore plc,Swiss Basic Materials
"JD.com, Inc.",Chinese Consumer Discretionary
Aflac Incorporated,US Financials
Norfolk Southern Corporation,US Industrials
PACCAR Inc,US Industrials
Vertiv Holdings Co.,US Industrials
Industrial Bank Co. Ltd,Chinese Financials
"Banco Bilbao Vizcaya Argentaria, SA",Spanish Financials
"Nesco Holdings, Inc.",US Industrials
Snowflake Inc.,US Technology
Compass Group plc,UK Consumer Discretionary
"Roper Technologies, Inc.",US Industrials
Australia and New Zealand Banking Group Limited,Australian Financials
Semiconductor Manufacturing International Corp,Chinese Technology
"AutoZone, Inc.",US Consumer Discretionary
Zijin Mining Group Co Ltd,Chinese Basic Materials
Oversea-Chinese Banking Corp Ltd,Singaporean Financials
Marinomed Biotech AG,Austria Healthcare
Dr. Ing. h.c. F. Porsche AG,German Consumer Discretionary
NXP Semiconductors N.V.,Dutch Technology
"Copart, Inc.",US Industrials
Mitsui & Co. Ltd,Japanese Energy
Freeport-McMoRan Inc.,US Basic Materials
Saudi Basic Industries Corp,Saudi Arabian Basic Materials
"The Travelers Companies, Inc.",US Financials
Sberbank of Russia PJSC,Russian Financials
"Ameriprise Financial, Inc.",US Financials
"W.W. Grainger, Inc.",US Industrials
Electricité de France SA,French Utilities
Saudi Telecom Company,Saudi Arabian Communication Services
The Saudi National Bank,Saudi Arabian Financials
Johnson Controls International plc,Irish Industrials
"Block, Inc.",US Technology
Alimentation Couche-Tard Inc.,Canadian Consumer Staples
Pioneer Natural Resources Company,US Energy
Barclays plc,UK Financials
CITIC Securities Company Ltd,Chinese Financials
MPLX LP,US Energy
Manulife Financial Corporation,Canadian Financials
Macquarie Group Limited,Australian Financials
"Cheniere Energy, Inc.",US Energy
Sempra Energy,US Utilities
"Quanta Services, Inc.",US Industrials
AB Volvo,Swedish Industrials
"Paychex, Inc.",US Industrials
"American Electric Power Company, Inc.",US Utilities
Saudi Arabian Mining Company,Saudi Arabian Basic Materials
"Diamondback Energy, Inc.",US Energy
ING Groep N.V.,Dutch Financials
"United Rentals, Inc.",US Industrials
"Charter Communications, Inc.",US Communication Services
Public Storage,US Real Estate
"East Money Information Co.,Ltd.",Chinese Communication Services
Nongfu Spring Co. Ltd,Chinese Consumer Staples
Phillips 66,US Energy
Cummins Inc.,US Industrials
Discover Financial Services,US Financials
Delta Electronics,Thai Industrials
Marathon Petroleum Corporation,US Energy
Adyen N.V.,Dutch Technology
Itaú Unibanco Holding SA,Brazilian Financials
Wesfarmers Limited,Australian Consumer Discretionary
Bayerische Motoren Werke AG,German Consumer Discretionary
"Samsung Biologics Co.,Ltd.",South Korean Healthcare
The Allstate Corporation,US Financials
"Ross Stores, Inc.",US Consumer Discretionary
Daiichi Sankyo Company Ltd,Japanese Healthcare
Volkswagen AG,German Consumer Discretionary
"ONEOK, Inc.",US Energy
MSCI Inc.,US Financials
TC Energy Corporation,Canadian Energy
"Axon Enterprise, Inc.",US Industrials
"Cencora, Inc.",US Healthcare
Newmont Corporation,US Basic Materials
Hong Kong Exchanges & Clearing Ltd,HK Financials
Realty Income Corporation,US Real Estate
Shenzhen Mindray Bio-Medical Electronics Co. Ltd,Chinese Healthcare
Dassault Systèmes SE,French Technology
A.H. Belo Corporation,US Communication Services
Occidental Petroleum Corporation,US Energy
Lululemon Athletica Inc.,Canadian Consumer Discretionary
3i Group plc,UK Financials
"Datadog, Inc.",US Technology
Suncor Energy Inc.,Canadian Energy
TE Connectivity Ltd.,Swiss Technology
"AgriBank, FCB",US Financials
Fortescue Metals Group Limited,Australian Basic Materials
Monster Beverage Corporation,US Consumer Staples
"D.R. Horton, Inc.",US Consumer Discretionary
"Nasdaq, Inc.",US Financials
Sempra,US Utilities
Baker Hughes Company,US Energy
Wal-Mart de Mexico SAB de CV,Mexican Consumer Staples
"American International Group, Inc.",US Financials
"Waste Connections, Inc.",US Industrials
Corning Incorporated,US Technology
Targa Resources Corp.,US Energy
Howmet Aerospace Inc.,US Industrials
Rosneft Oil Co PJSC,Russian Energy
BAE Systems plc,UK Industrials
adidas AG,German Consumer Discretionary
Lloyds Banking Group plc,UK Financials
China CITIC Bank Corp Ltd,Chinese Financials
Compagnie de Saint-Gobain SA,French Industrials
United Overseas Bank Ltd,Singaporean Financials
Infineon Technologies AG,German Technology
HOYA Corp,Japanese Healthcare
Fair Isaac Corporation,US Technology
Alliance Data Systems Corporation,US Financials
"Dominion Energy, Inc.",US Utilities
Goodman Group,Australian Real Estate
Hess Corporation,US Energy
Valero Energy Corporation,US Energy
Mitsubishi Heavy Industries Ltd,Japanese Industrials
Trip.com Group Limited,Chinese Consumer Discretionary
"Corteva, Inc.",US Basic Materials
Assicurazioni Generali,Italian Financials
"AMETEK, Inc.",US Industrials
Public Service Enterprise Group Incorporated,US Utilities
Deutsche Börse AG,German Financials
"Japan Tobacco, Inc.",Japanese Consumer Staples
"Agilent Technologies, Inc.",US Healthcare
Experian plc,Irish Industrials
"Delta Air Lines, Inc.",US Industrials
Deutsche Post AG,German Industrials
Danone SA,French Consumer Staples
Fastenal Company,US Industrials
"Honda Motor Co., Ltd.",Japanese Consumer Discretionary
Reckitt Benckiser Group plc,UK Consumer Staples
Seagen Inc.,US Healthcare
"CBRE Group, Inc.",US Real Estate
Eni S.p.A.,Italian Energy
Keurig Dr Pepper Inc.,US Consumer Staples
"Fidelity National Information Services, Inc.",US Technology
"Cloudflare, Inc.",US Technology
Wolters Kluwer N.V.,Dutch Communication Services
The Kroger Co.,US Consumer Staples
PJSC Lukoil,Russian Energy
Kimberly-Clark Corporation,US Consumer Staples
BASF SE,German Basic Materials
Haleon plc,UK Healthcare
"Coupang, Inc.",South Korean Consumer Discretionary
"América Móvil, S.A.B. de C.V.",Mexican Communication Services
Shanghai Pudong Development Bank Co. Ltd,Chinese Financials
"L3Harris Technologies, Inc.",US Industrials
Lonza Group Ltd,Swiss Healthcare
Mahindra & Mahindra Ltd,Indian Consumer Discretionary
PT Bank Rakyat Indonesia (Persero) Tbk,Indonesian Financials
"Prudential Financial, Inc.",US Financials
Alcon Inc.,Swiss Healthcare
Takeda Pharmaceutical Company Limited,Japanese Healthcare
Garmin Ltd.,Swiss Technology
Swiss Re AG,Swiss Financials
Siemens Energy AG,German Utilities
Agnico Eagle Mines Limited,Canadian Basic Materials
NatWest Group plc,UK Financials
"Old Dominion Freight Line, Inc.",US Industrials
PT Bayan Resources Tbk,Indonesian Energy
Edwards Lifesciences Corporation,US Healthcare
Advantest Corp,Japanese Technology
"Gartner, Inc.",US Technology
Ford Motor Company,US Consumer Discretionary
Crédit Agricole SA,French Financials
Seven & i Holdings Co. Ltd,Japanese Consumer Staples
Givaudan SA,Swiss Basic Materials
"CaixaBank, SA",Spanish Financials
Cognizant Technology Solutions Corporation,US Technology
Exelon Corporation,US Utilities
"Verisk Analytics, Inc.",US Industrials
The People's Insurance Company (Group) of China Ltd,Chinese Financials
Anglo American plc,UK Basic Materials
Otis Worldwide Corporation,US Industrials
Jiangsu Hengrui Medicine Co. Ltd,Chinese Healthcare
argenx SE,Dutch Healthcare
EQT AB,Japanese Financials
Heineken N.V.,Dutch Consumer Staples
China Pacific Insurance,Chinese Financials
GE HealthCare Technologies Inc.,US Healthcare
Crown Castle International Corp. (REIT),US Real Estate
Deutsche Bank AG,German Financials
"Beijing-Shanghai High-Speed Railway Co.,Ltd.",Chinese Industrials
"Coinbase Global, Inc.",US Technology
PT Bank Mandiri (Persero) Tbk,Indonesian Financials
Engie SA,French Utilities
"HubSpot, Inc.",US Technology
Singapore Telecommunications Ltd,Singaporean Communication Services
Xcel Energy Inc.,US Utilities
PT. Chandra Asri Petrochemical Tbk,Indonesian Basic Materials
Ingersoll Rand Inc.,US Industrials
Fubon Financial Holding Co. Ltd,Taiwanese Financials
Sika AG,Swiss Basic Materials
UCB SA,Belgian Healthcare
DENSO Corp,Japanese Consumer Discretionary
Wipro Limited,Indian Technology
Loblaw Companies Limited,Canadian Consumer Staples
Imperial Oil Limited,Canadian Energy
WEG SA,Brazilian Industrials
IQVIA Holdings Inc.,US Healthcare
Roblox Corp,US Communication Services
Vale SA,Brazilian Basic Materials
Grupo Mexico SAB de CV,Mexican Basic Materials
"Conversion Labs, Inc.",US Healthcare
Woodside Energy Group Ltd,Australian Energy
Ferguson plc,UK Industrials
Romande Energie Holding SA,Swiss Utilities
ResMed Inc.,US Healthcare
Vulcan Materials Company,US Basic Materials
Sysco Corporation,US Consumer Staples
Veeva Systems Inc.,US Healthcare
Wabtec Corporation,US Industrials
Foshan Haitian Flavouring and Food Company Ltd,Chinese Consumer Staples
PG&E Corporation,US Utilities
"Alnylam Pharmaceuticals, Inc.",US Healthcare
Lennar Corporation,US Consumer Discretionary
"Yum! Brands, Inc.",US Consumer Discretionary
"IDEXX Laboratories, Inc.",US Healthcare
Humana Inc.,US Healthcare
Oriental Land Co. Ltd,Japanese Consumer Discretionary
DSV PANALPINA A-S,Danish Industrials
The Kraft Heinz Company,US Consumer Staples
"Raymond James Financial, Inc.",US Financials
Entergy Corporation,US Utilities
Cambricon Technologies Corp Ltd,Chinese Technology
Stellantis N.V.,Dutch Consumer Discretionary
Arch Capital Group Ltd.,Bermuda Financials
PICC Property and Casualty Company Ltd,Chinese Financials
Henkel AG & Co KGaA,German Consumer Staples
Axis Bank Ltd,Indian Financials
Sun Life Financial Inc.,Canadian Financials
"Delta Electronics, Inc.",Taiwanese Technology
Haier Smart Home Co Ltd,Chinese Consumer Discretionary
"DexCom, Inc.",US Healthcare
"Monolithic Power Systems, Inc.",US Technology
ASSA ABLOY AB,Swedish Industrials
"United Airlines Holdings, Inc.",US Industrials
"JAPAN POST BANK Co.,Ltd.",Japanese Financials
Mitsubishi Electric Corporation,Japanese Industrials
"Martin Marietta Materials, Inc.",US Basic Materials
Carnival Corporation & plc,US Consumer Discretionary
Extra Space Storage Inc.,US Real Estate
Equifax Inc.,US Industrials
Intact Financial Corporation,Canadian Financials
"MS&AD Insurance Group Holdings, Inc.",Japanese Financials
BOC Hong Kong Holdings Ltd,HK Financials
Deckers Outdoor Corporation,US Consumer Discretionary
"Daikin Industries,Ltd.",Japanese Industrials
Rheinmetall AG,German Industrials
Centene Corporation,US Healthcare
"Rockwell Automation, Inc.",US Industrials
"General Mills, Inc.",US Consumer Staples
"DuPont de Nemours, Inc.",US Basic Materials
M&T Bank Corporation,US Financials
Iron Mountain Incorporated,US Real Estate
Naspers Ltd,South African Communication Services
Standard Chartered plc,UK Financials
"Constellation Brands, Inc.",US Consumer Staples
Hannover Rück SE,German Financials
Texas Pacific Land Corporation,US Energy
"Take-Two Interactive Software, Inc.",US Communication Services
ASM International NV,Dutch Technology
Texas Pacific Land Corp,US Energy
Koninklijke Ahold Delhaize N.V.,Dutch Consumer Staples
"The Hartford Financial Services Group, Inc.",US Financials
Thales SA,French Industrials
"Live Nation Entertainment, Inc.",US Communication Services
Hewlett Packard Enterprise Company,US Technology
"Aena S.M.E., SA",Spanish Industrials
Microchip Technology Incorporated,US Technology
EQT Corporation,US Energy
CITIC Ltd,HK Industrials
Willis Towers Watson plc,UK Financials
"ANSYS, Inc.",US Technology
Las Vegas Sands Corp.,US Consumer Discretionary
"Consolidated Edison, Inc.",US Utilities
"Quanta Computer, Inc.",Taiwanese Technology
National Bank of Canada,Canadian Financials
HP Inc.,US Technology
"Cardinal Health, Inc.",US Healthcare
Flutter Entertainment plc,Irish Consumer Discretionary
Fairfax Financial Holdings Limited,Canadian Financials
Electronic Arts Inc.,US Communication Services
Canon Inc.,Japanese Technology
eBay Inc.,US Consumer Discretionary
Daimler Truck Holding AG,German Industrials
VICI Properties Inc.,US Real Estate
Tesco plc,UK Consumer Staples
"WEC Energy Group, Inc.",US Utilities
Fujitsu Ltd,Japanese Technology
Tractor Supply Company,US Consumer Discretionary
"First Citizens BancShares, Inc.",US Financials
"Ferrovial, SA",Spanish Industrials
Skandinaviska Enskilda Banken AB,Swedish Financials
Great-West Lifeco Inc.,Canadian Financials
"CoStar Group, Inc.",US Real Estate
"AvalonBay Communities, Inc.",US Real Estate
"Amadeus IT Group, SA",Spanish Technology
The Hershey Company,US Consumer Staples
Kering SA,French Consumer Discretionary
Restaurant Brands International Inc.,Canadian Consumer Discretionary
"Brown & Brown, Inc.",US Financials
Barrick Gold Corporation,Canadian Basic Materials
"Keysight Technologies, Inc.",US Technology
KBC Group NV,Belgian Financials
Cathay Financial Holding Co. Ltd,Taiwanese Financials
"Cheniere Energy Partners, L.P.",US Energy
China Everbright Bank Company Ltd,Chinese Financials
"Zscaler, Inc.",US Technology
Xylem Inc.,US Industrials
"Chunghwa Telecom Co., Ltd.",Taiwanese Communication Services
COSCO SHIPPING Holdings Co Ltd,Chinese Industrials
Fifth Third Bancorp,US Financials
Ashtead Group plc,UK Industrials
E.ON SE,German Utilities
Schindler Holding AG,Swiss Industrials
Wanhua Chemical Group Co. Ltd,Chinese Basic Materials
Japan Post Holdings Co. Ltd,Japanese Financials
HEICO Corporation,US Industrials
GoDaddy Inc.,US Technology
"Shanxi Xinghuacun Fen Wine Factory Co.,Ltd.",Chinese Consumer Staples
Dow Inc.,US Basic Materials
ANTA Sports Products Ltd,Chinese Consumer Discretionary
Beiersdorf AG,German Consumer Staples
SAIC Motor Corp Ltd,Chinese Consumer Discretionary
AP Moller - Maersk A-S,Danish Industrials
"Baidu, Inc.",Chinese Communication Services
The Estée Lauder Companies Inc.,US Consumer Staples
Shaanxi Coal Industry Company Ltd,Chinese Energy
Nucor Corporation,US Basic Materials
"PPG Industries, Inc.",US Basic Materials
Tradeweb Markets Inc.,US Financials
Swisscom AG,Swiss Communication Services
Hexagon AB,Swedish Technology
Carvana Co.,US Consumer Discretionary
Dr. Sulaiman Al Habib Medical Services Group Company,Saudi Arabian Healthcare
Orange SA,French Communication Services
Telstra Corporation Limited,Australian Communication Services
Mettler-Toledo International Inc.,US Healthcare
BioNTech SE,German Healthcare
State Street Corporation,US Financials
Kellogg Company,US Consumer Staples
Ambev SA,Brazilian Consumer Staples
China Unicom Hong Kong Ltd,HK Communication Services
Pernod Ricard SA,French Consumer Staples
Murata Manufacturing Co. Ltd,Japanese Technology
Novatek PJSC,Russian Energy
Fortive Corporation,US Technology
"Broadridge Financial Solutions, Inc.",US Technology
Wheaton Precious Metals Corp.,Canadian Basic Materials
CRRC Corp Ltd,Chinese Industrials
"Chongqing Sokon Industry Group Stock Co.,Ltd.",Chinese Consumer Discretionary
Global Payments Inc.,US Industrials
Capgemini SE,French Technology
Synchrony Financial,US Financials
Terumo Corp,Japanese Healthcare
Woolworths Group Limited,Australian Consumer Staples
Dollarama Inc.,Canadian Consumer Staples
Dover Corporation,US Industrials
QNB Finansbank A.S.,Turkish Financials
Otsuka Holdings Co. Ltd,Japanese Healthcare
Imperial Brands plc,UK Consumer Staples
Cenovus Energy Inc.,Canadian Energy
NARI Technology Co. Ltd,Chinese Industrials
China National Nuclear Power Co. Ltd,Chinese Utilities
Kuaishou Technology,Chinese Communication Services
Equity Residential,US Real Estate
Horizon Therapeutics Public Limited Company,Irish Healthcare
Kansas City Southern,US Industrials
Kuehne + Nagel International AG,Swiss Industrials
KONE Oyj,Finnish Industrials
CDW Corporation,US Technology
Gazprom Neft PJSC,Russian Energy
LPL Financial Holdings Inc.,US Financials
